2017 American Community Survey (1-year estimates),,,,,,,,,,,,,,,,,,,,,,
HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,,
"California, Counties and Places with 65,000+ Population",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Civilian noninstitutionalized population,,"With health insurance coverage - 
Total",,,,"With health insurance coverage - 
private health insurance 
(alone or with public coverage)",,,,"With health insurance coverage - 
public coverage 
(alone or with private coverage)",,,,No health insurance coverage,,,,,,,
Geography,Estimate,Estimate Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error,,Summary Level,County,Place
California,"39,046,835","+/-5,485","36,250,246","+/-34,747",92.8,+/-0.1,"24,824,299","+/-74,200",63.6,+/-0.2,"14,991,751","+/-70,608",38.4,+/-0.2,"2,796,589","+/-34,155",7.2,+/-0.1,,040,,
Alameda County,"1,654,543","+/-1,213","1,574,152","+/-7,630",95.1,+/-0.4,"1,202,204","+/-16,982",72.7,+/-1.0,"518,380","+/-15,502",31.3,+/-0.9,"80,391","+/-7,383",4.9,+/-0.4,,050,001,
Alameda city,"77,864",+/-591,"75,139","+/-1,131",96.5,+/-1.3,"61,735","+/-2,545",79.3,+/-3.3,"23,453","+/-3,153",30.1,+/-4.0,"2,725",+/-995,3.5,+/-1.3,,160,001,00562
Berkeley city,"121,870",+/-204,"117,462","+/-1,434",96.4,+/-1.1,"99,939","+/-3,145",82.0,+/-2.6,"29,367","+/-3,233",24.1,+/-2.7,"4,408","+/-1,386",3.6,+/-1.1,,160,001,06000
Castro Valley CDP,"61,304","+/-4,513","58,696","+/-4,322",95.7,+/-1.7,"46,872","+/-4,072",76.5,+/-5.0,"18,570","+/-3,414",30.3,+/-4.8,"2,608","+/-1,066",4.3,+/-1.7,,160,001,11964
Fremont city,"234,341",+/-216,"231,487",+/-961,98.8,+/-0.4,"183,952","+/-6,016",78.5,+/-2.6,"66,868","+/-6,604",28.5,+/-2.8,"2,854",+/-910,1.2,+/-0.4,,160,001,26000
Hayward city,"159,560",+/-301,"151,009","+/-2,824",94.6,+/-1.7,"103,141","+/-5,265",64.6,+/-3.3,"57,870","+/-5,283",36.3,+/-3.3,"8,551","+/-2,775",5.4,+/-1.7,,160,001,33000
Livermore city,"90,079",+/-130,"88,538",+/-990,98.3,+/-1.1,"79,497","+/-2,761",88.3,+/-3.1,"18,163","+/-2,241",20.2,+/-2.5,"1,541",+/-982,1.7,+/-1.1,,160,001,41992
Oakland city,"423,307",+/-816,"382,550","+/-5,038",90.4,+/-1.1,"256,237","+/-7,907",60.5,+/-1.8,"160,262","+/-7,357",37.9,+/-1.7,"40,757","+/-4,713",9.6,+/-1.1,,160,001,53000
Pleasanton city,"82,869",+/-271,"80,588","+/-1,404",97.2,+/-1.7,"73,049","+/-2,583",88.1,+/-3.1,"15,088","+/-2,102",18.2,+/-2.5,"2,281","+/-1,386",2.8,+/-1.7,,160,001,57792
San Leandro city,"90,331",+/-148,"86,408","+/-1,252",95.7,+/-1.4,"62,240","+/-4,080",68.9,+/-4.5,"35,753","+/-3,803",39.6,+/-4.2,"3,923","+/-1,256",4.3,+/-1.4,,160,001,68084
Union City city,"75,243",+/-120,"74,575",+/-359,99.1,+/-0.4,"58,067","+/-3,040",77.2,+/-4.1,"22,328","+/-3,059",29.7,+/-4.1,668,+/-339,0.9,+/-0.4,,160,001,81204
Butte County,"226,204","+/-1,219","213,792","+/-2,866",94.5,+/-1.2,"132,630","+/-5,477",58.6,+/-2.4,"115,599","+/-5,155",51.1,+/-2.3,"12,412","+/-2,615",5.5,+/-1.2,,050,007,
Chico city,"92,796",+/-268,"87,146","+/-1,603",93.9,+/-1.6,"60,718","+/-3,643",65.4,+/-3.9,"38,277","+/-3,600",41.2,+/-3.9,"5,650","+/-1,527",6.1,+/-1.6,,160,007,13014
Contra Costa County,"1,141,780","+/-1,190","1,084,282","+/-6,543",95.0,+/-0.6,"845,937","+/-12,630",74.1,+/-1.1,"371,776","+/-10,826",32.6,+/-0.9,"57,498","+/-6,459",5.0,+/-0.6,,050,013,
Antioch city,"111,346",+/-315,"104,609","+/-2,061",93.9,+/-1.8,"65,827","+/-4,445",59.1,+/-4.0,"50,458","+/-4,755",45.3,+/-4.2,"6,737","+/-1,987",6.1,+/-1.8,,160,013,02252
Concord city,"129,051",+/-582,"121,834","+/-2,392",94.4,+/-1.8,"94,539","+/-4,386",73.3,+/-3.4,"44,157","+/-4,146",34.2,+/-3.2,"7,217","+/-2,298",5.6,+/-1.8,,160,013,16000
Pittsburg city,"71,936",+/-193,"66,436","+/-2,536",92.4,+/-3.6,"42,870","+/-3,356",59.6,+/-4.7,"31,654","+/-3,421",44.0,+/-4.8,"5,500","+/-2,555",7.6,+/-3.6,,160,013,57456
Richmond city,"109,042",+/-493,"94,932","+/-3,367",87.1,+/-3.1,"62,222","+/-5,052",57.1,+/-4.6,"44,138","+/-4,371",40.5,+/-4.0,"14,110","+/-3,330",12.9,+/-3.1,,160,013,60620
San Ramon city,"75,895",+/-47,"74,333",+/-722,97.9,+/-0.9,"68,891","+/-1,537",90.8,+/-2.0,"10,213","+/-1,659",13.5,+/-2.2,"1,562",+/-705,2.1,+/-0.9,,160,013,68378
Walnut Creek city,"69,053",+/-472,"67,905","+/-1,553",98.3,+/-1.9,"57,552","+/-2,411",83.3,+/-3.3,"22,787","+/-2,632",33.0,+/-3.8,"1,148","+/-1,283",1.7,+/-1.9,,160,013,83346
El Dorado County,"187,615",+/-483,"181,176","+/-1,841",96.6,+/-1.0,"141,488","+/-4,965",75.4,+/-2.7,"72,140","+/-4,911",38.5,+/-2.6,"6,439","+/-1,856",3.4,+/-1.0,,050,017,
Fresno County,"978,243","+/-1,189","903,401","+/-5,758",92.3,+/-0.6,"517,203","+/-12,493",52.9,+/-1.3,"491,845","+/-12,151",50.3,+/-1.2,"74,842","+/-5,795",7.7,+/-0.6,,050,019,
Clovis city,"109,015",+/-431,"104,253","+/-1,812",95.6,+/-1.6,"76,800","+/-3,559",70.4,+/-3.2,"43,610","+/-4,296",40.0,+/-3.9,"4,762","+/-1,758",4.4,+/-1.6,,160,019,14218
Fresno city,"522,300",+/-906,"483,769","+/-4,475",92.6,+/-0.8,"267,992","+/-10,288",51.3,+/-2.0,"269,792","+/-10,066",51.7,+/-1.9,"38,531","+/-4,413",7.4,+/-0.8,,160,019,27000
Humboldt County,"135,847",+/-752,"122,571","+/-3,700",90.2,+/-2.6,"77,834","+/-4,337",57.3,+/-3.1,"62,660","+/-5,103",46.1,+/-3.8,"13,276","+/-3,590",9.8,+/-2.6,,050,023,
Imperial County,"173,359",+/-870,"162,365","+/-3,360",93.7,+/-1.9,"86,584","+/-5,977",49.9,+/-3.4,"88,657","+/-5,801",51.1,+/-3.3,"10,994","+/-3,231",6.3,+/-1.9,,050,025,
Kern County,"865,603","+/-1,845","798,430","+/-6,709",92.2,+/-0.7,"438,146","+/-14,905",50.6,+/-1.7,"430,527","+/-16,653",49.7,+/-1.9,"67,173","+/-6,426",7.8,+/-0.7,,050,029,
Bakersfield city,"379,196",+/-368,"351,300","+/-4,726",92.6,+/-1.3,"201,208","+/-10,431",53.1,+/-2.7,"179,494","+/-10,984",47.3,+/-2.9,"27,896","+/-4,755",7.4,+/-1.3,,160,029,03526
Kings County,"135,965","+/-1,175","124,580","+/-2,425",91.6,+/-1.6,"73,895","+/-4,381",54.3,+/-3.1,"62,679","+/-4,064",46.1,+/-3.0,"11,385","+/-2,159",8.4,+/-1.6,,050,031,
Lake County,"63,594",+/-600,"58,784","+/-1,735",92.4,+/-2.5,"32,380","+/-3,250",50.9,+/-5.1,"38,220","+/-2,837",60.1,+/-4.4,"4,810","+/-1,585",7.6,+/-2.5,,050,033,
Los Angeles County,"10,096,702","+/-3,019","9,191,163","+/-20,929",91.0,+/-0.2,"5,925,851","+/-39,238",58.7,+/-0.4,"3,942,307","+/-32,168",39.0,+/-0.3,"905,539","+/-20,615",9.0,+/-0.2,,050,037,
Alhambra city,"84,704",+/-312,"81,601","+/-1,085",96.3,+/-1.2,"52,832","+/-3,169",62.4,+/-3.8,"34,628","+/-3,329",40.9,+/-3.9,"3,103","+/-1,054",3.7,+/-1.2,,160,037,00884
Baldwin Park city,"76,083",+/-177,"68,270","+/-1,963",89.7,+/-2.6,"32,705","+/-3,249",43.0,+/-4.3,"37,934","+/-3,235",49.9,+/-4.3,"7,813","+/-1,965",10.3,+/-2.6,,160,037,03666
Bellflower city,"77,430",+/-241,"69,174","+/-1,998",89.3,+/-2.6,"45,413","+/-3,723",58.7,+/-4.8,"28,508","+/-3,342",36.8,+/-4.3,"8,256","+/-1,977",10.7,+/-2.6,,160,037,04982
Burbank city,"104,434",+/-373,"98,186","+/-1,906",94.0,+/-1.8,"76,040","+/-4,259",72.8,+/-4.1,"31,360","+/-4,123",30.0,+/-3.9,"6,248","+/-1,883",6.0,+/-1.8,,160,037,08954
Carson city,"92,639",+/-94,"84,780","+/-2,166",91.5,+/-2.3,"57,468","+/-3,739",62.0,+/-4.0,"37,304","+/-3,989",40.3,+/-4.3,"7,859","+/-2,168",8.5,+/-2.3,,160,037,11530
Compton city,"97,503",+/-204,"84,841","+/-2,462",87.0,+/-2.5,"44,933","+/-4,910",46.1,+/-5.0,"44,613","+/-4,675",45.8,+/-4.8,"12,662","+/-2,472",13.0,+/-2.5,,160,037,15044
Downey city,"112,636",+/-333,"102,207","+/-3,164",90.7,+/-2.8,"69,026","+/-5,303",61.3,+/-4.7,"39,794","+/-4,549",35.3,+/-4.0,"10,429","+/-3,129",9.3,+/-2.8,,160,037,19766
East Los Angeles CDP,"125,389","+/-10,149","113,872","+/-9,779",90.8,+/-1.6,"47,339","+/-5,196",37.8,+/-3.5,"71,896","+/-7,901",57.3,+/-3.3,"11,517","+/-2,104",9.2,+/-1.6,,160,037,20802
El Monte city,"115,271",+/-323,"100,605","+/-2,054",87.3,+/-1.8,"45,551","+/-3,749",39.5,+/-3.2,"59,476","+/-3,934",51.6,+/-3.4,"14,666","+/-2,018",12.7,+/-1.8,,160,037,22230
Florence-Graham CDP,"68,095","+/-7,403","57,150","+/-6,362",83.9,+/-3.2,"19,392","+/-3,477",28.5,+/-4.3,"39,701","+/-5,341",58.3,+/-4.7,"10,945","+/-2,582",16.1,+/-3.2,,160,037,24477
Glendale city,"201,543",+/-559,"189,415","+/-2,688",94.0,+/-1.3,"117,867","+/-6,112",58.5,+/-3.0,"86,200","+/-6,318",42.8,+/-3.1,"12,128","+/-2,563",6.0,+/-1.3,,160,037,30000
Hawthorne city,"87,432",+/-271,"77,848","+/-2,269",89.0,+/-2.6,"49,152","+/-4,368",56.2,+/-5.0,"33,743","+/-4,003",38.6,+/-4.6,"9,584","+/-2,240",11.0,+/-2.6,,160,037,32548
Inglewood city,"110,268",+/-151,"97,770","+/-2,882",88.7,+/-2.6,"58,289","+/-4,445",52.9,+/-4.0,"45,938","+/-4,056",41.7,+/-3.7,"12,498","+/-2,861",11.3,+/-2.6,,160,037,36546
Lakewood city,"80,821",+/-178,"76,897","+/-1,197",95.1,+/-1.5,"61,886","+/-2,860",76.6,+/-3.6,"23,217","+/-2,909",28.7,+/-3.6,"3,924","+/-1,191",4.9,+/-1.5,,160,037,39892
Lancaster city,"155,056",+/-686,"148,233","+/-1,689",95.6,+/-1.0,"108,082","+/-4,538",69.7,+/-2.9,"50,205","+/-4,509",32.4,+/-2.9,"6,823","+/-1,525",4.4,+/-1.0,,160,037,40130
Long Beach city,"466,896",+/-568,"431,741","+/-4,038",92.5,+/-0.9,"281,999","+/-8,717",60.4,+/-1.9,"178,830","+/-8,063",38.3,+/-1.7,"35,155","+/-3,978",7.5,+/-0.9,,160,037,43000
Los Angeles city,"3,974,895","+/-2,130","3,558,326","+/-13,267",89.5,+/-0.3,"2,189,601","+/-21,939",55.1,+/-0.5,"1,615,106","+/-22,343",40.6,+/-0.6,"416,569","+/-12,863",10.5,+/-0.3,,160,037,44000
Lynwood city,"68,591",+/-779,"59,255","+/-2,181",86.4,+/-3.3,"30,877","+/-3,759",45.0,+/-5.5,"30,934","+/-3,259",45.1,+/-4.7,"9,336","+/-2,262",13.6,+/-3.3,,160,037,44574
Norwalk city,"104,420","+/-1,873","97,028","+/-2,785",92.9,+/-1.8,"62,446","+/-4,027",59.8,+/-3.7,"40,605","+/-3,722",38.9,+/-3.4,"7,392","+/-1,855",7.1,+/-1.8,,160,037,52526
Palmdale city,"157,307",+/-207,"144,704","+/-2,627",92.0,+/-1.7,"74,365","+/-5,641",47.3,+/-3.6,"80,357","+/-5,457",51.1,+/-3.5,"12,603","+/-2,637",8.0,+/-1.7,,160,037,55156
Pasadena city,"141,356",+/-286,"130,236","+/-2,349",92.1,+/-1.7,"97,684","+/-4,307",69.1,+/-3.0,"43,051","+/-3,895",30.5,+/-2.8,"11,120","+/-2,355",7.9,+/-1.7,,160,037,56000
Pomona city,"151,819",+/-495,"133,270","+/-3,011",87.8,+/-2.0,"67,082","+/-4,789",44.2,+/-3.2,"72,037","+/-5,463",47.4,+/-3.6,"18,549","+/-3,078",12.2,+/-2.0,,160,037,58072
Redondo Beach city,"67,659",+/-210,"64,769","+/-1,385",95.7,+/-2.0,"58,190","+/-1,818",86.0,+/-2.6,"12,146","+/-2,065",18.0,+/-3.1,"2,890","+/-1,342",4.3,+/-2.0,,160,037,60018
Santa Clarita city,"210,507",+/-282,"197,993","+/-3,232",94.1,+/-1.5,"158,826","+/-5,554",75.4,+/-2.7,"60,442","+/-5,282",28.7,+/-2.5,"12,514","+/-3,234",5.9,+/-1.5,,160,037,69088
Santa Monica city,"91,573",+/-314,"88,678","+/-1,236",96.8,+/-1.4,"69,909","+/-3,161",76.3,+/-3.5,"28,278","+/-3,235",30.9,+/-3.5,"2,895","+/-1,275",3.2,+/-1.4,,160,037,70000
South Gate city,"95,354",+/-152,"76,853","+/-2,705",80.6,+/-2.8,"35,043","+/-4,128",36.8,+/-4.3,"44,911","+/-3,724",47.1,+/-3.9,"18,501","+/-2,716",19.4,+/-2.8,,160,037,73080
Torrance city,"145,886",+/-379,"138,810","+/-1,933",95.1,+/-1.3,"112,136","+/-3,889",76.9,+/-2.7,"41,272","+/-3,914",28.3,+/-2.7,"7,076","+/-1,940",4.9,+/-1.3,,160,037,80000
West Covina city,"106,970",+/-334,"100,320","+/-1,444",93.8,+/-1.3,"70,271","+/-4,249",65.7,+/-4.0,"36,604","+/-3,922",34.2,+/-3.7,"6,650","+/-1,424",6.2,+/-1.3,,160,037,84200
Whittier city,"86,318",+/-469,"79,950","+/-2,811",92.6,+/-3.2,"63,740","+/-3,994",73.8,+/-4.5,"22,014","+/-3,471",25.5,+/-4.0,"6,368","+/-2,770",7.4,+/-3.2,,160,037,85292
Madera County,"149,228","+/-1,208","135,944","+/-3,397",91.1,+/-2.0,"70,559","+/-5,835",47.3,+/-3.9,"80,674","+/-5,156",54.1,+/-3.4,"13,284","+/-3,028",8.9,+/-2.0,,050,039,
Madera city,"65,289",+/-347,"57,640","+/-2,496",88.3,+/-3.7,"21,366","+/-4,193",32.7,+/-6.4,"40,433","+/-3,491",61.9,+/-5.3,"7,649","+/-2,428",11.7,+/-3.7,,160,039,45022
Marin County,"256,005","+/-1,134","246,774","+/-3,106",96.4,+/-1.1,"201,266","+/-5,066",78.6,+/-1.9,"87,401","+/-4,096",34.1,+/-1.6,"9,231","+/-2,806",3.6,+/-1.1,,050,041,
Mendocino County,"87,268",+/-596,"78,277","+/-2,104",89.7,+/-2.4,"45,269","+/-3,418",51.9,+/-3.9,"47,641","+/-3,113",54.6,+/-3.5,"8,991","+/-2,058",10.3,+/-2.4,,050,045,
Merced County,"270,238",+/-928,"249,897","+/-3,081",92.5,+/-1.1,"127,824","+/-6,992",47.3,+/-2.6,"146,674","+/-6,797",54.3,+/-2.5,"20,341","+/-3,101",7.5,+/-1.1,,050,047,
Merced city,"82,450",+/-411,"77,074","+/-1,514",93.5,+/-1.8,"37,616","+/-3,940",45.6,+/-4.8,"46,631","+/-3,797",56.6,+/-4.7,"5,376","+/-1,500",6.5,+/-1.8,,160,047,46898
Monterey County,"421,669","+/-1,838","379,928","+/-4,254",90.1,+/-1.0,"240,295","+/-9,470",57.0,+/-2.3,"174,741","+/-8,159",41.4,+/-1.9,"41,741","+/-4,235",9.9,+/-1.0,,050,053,
Salinas city,"156,682",+/-609,"134,996","+/-3,121",86.2,+/-2.0,"75,722","+/-5,525",48.3,+/-3.5,"66,196","+/-5,325",42.2,+/-3.4,"21,686","+/-3,123",13.8,+/-2.0,,160,053,64224
Napa County,"139,286",+/-532,"129,233","+/-2,364",92.8,+/-1.7,"104,940","+/-3,943",75.3,+/-2.9,"44,571","+/-3,033",32.0,+/-2.2,"10,053","+/-2,376",7.2,+/-1.7,,050,055,
Napa city,"79,349",+/-224,"72,124","+/-2,304",90.9,+/-2.9,"58,762","+/-3,407",74.1,+/-4.3,"22,675","+/-2,456",28.6,+/-3.1,"7,225","+/-2,265",9.1,+/-2.9,,160,055,50258
Nevada County,"98,837",+/-571,"91,930","+/-1,951",93.0,+/-2.0,"67,141","+/-4,003",67.9,+/-4.0,"43,771","+/-3,685",44.3,+/-3.8,"6,907","+/-1,944",7.0,+/-2.0,,050,057,
Orange County,"3,175,155","+/-1,463","2,939,104","+/-10,584",92.6,+/-0.3,"2,115,027","+/-18,127",66.6,+/-0.6,"1,089,022","+/-16,144",34.3,+/-0.5,"236,051","+/-10,341",7.4,+/-0.3,,050,059,
Anaheim city,"350,585",+/-568,"305,994","+/-6,093",87.3,+/-1.7,"189,176","+/-8,849",54.0,+/-2.5,"135,543","+/-6,787",38.7,+/-1.9,"44,591","+/-5,997",12.7,+/-1.7,,160,059,02000
Buena Park city,"82,826",+/-236,"75,183","+/-2,149",90.8,+/-2.7,"46,040","+/-4,045",55.6,+/-4.9,"35,667","+/-4,224",43.1,+/-5.1,"7,643","+/-2,208",9.2,+/-2.7,,160,059,08786
Costa Mesa city,"113,142",+/-513,"99,636","+/-2,535",88.1,+/-2.2,"73,517","+/-4,239",65.0,+/-3.8,"33,854","+/-3,536",29.9,+/-3.1,"13,506","+/-2,513",11.9,+/-2.2,,160,059,16532
Fullerton city,"139,430",+/-421,"129,666","+/-2,553",93.0,+/-1.8,"92,236","+/-5,747",66.2,+/-4.1,"48,397","+/-4,660",34.7,+/-3.3,"9,764","+/-2,494",7.0,+/-1.8,,160,059,28000
Garden Grove city,"173,407",+/-527,"163,106","+/-2,225",94.1,+/-1.3,"94,571","+/-5,205",54.5,+/-3.0,"79,200","+/-5,243",45.7,+/-3.0,"10,301","+/-2,218",5.9,+/-1.3,,160,059,29000
Huntington Beach city,"201,298",+/-557,"190,376","+/-2,146",94.6,+/-1.0,"149,207","+/-5,701",74.1,+/-2.8,"66,598","+/-5,145",33.1,+/-2.5,"10,922","+/-2,041",5.4,+/-1.0,,160,059,36000
