Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
California,39046835,36.5,13005097,68.5,31.5,2.98,3.57,1145240,21.4,1564913,5.2,5.2,15477306,39.1,14616636,37,2164239,5.5,147880,0.4,5679986,14.4,137520,0.3,107223,0.3,1205863,3,73.1,26.9,51.6,37076228,44.4,17.9
Alameda County,1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18
Alameda city,77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5
Berkeley city,121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1
Castro Valley CDP,61304,40.4,21977,70.6,29.4,2.77,3.31,N,N,2878,5.8,0,12337,19.9,28123,45.3,5965,9.6,252,0.4,11831,19.1,198,0.3,211,0.3,3186,5.1,76.5,23.5,56.9,57098,32.3,14.1
Fremont city,234341,37.4,72148,82.8,17.2,3.23,3.52,8477,34.8,4153,2.3,6.1,31053,13.2,45570,19.4,4451,1.9,741,0.3,143836,61.2,812,0.3,304,0.1,8187,3.5,51.2,48.8,52.8,220370,64.9,17.5
Hayward city,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9
Livermore city,90079,39.5,33085,68.9,31.1,2.72,3.3,N,N,4735,6.8,0,17027,18.9,56113,62.1,1463,1.6,106,0.1,11494,12.7,567,0.6,0,0,3520,3.9,81,19,48.4,84696,23.8,9.7
Oakland city,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7
Pleasanton city,82869,43.7,30435,76.1,23.9,2.72,3.1,N,N,3071,4.7,0,6375,7.7,43618,52.5,2310,2.8,436,0.5,25903,31.2,508,0.6,0,0,3857,4.6,68,32,58.6,80097,35.4,10.4
San Leandro city,90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7
