PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,ACPTBL_POC_SW,CMPLNC_STUS_CD,SSA_CNTY_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,INTRMDRY_CARR_CD,MDCD_VNDR_NUM,ORGNL_PRTCPTN_DT,CHOW_PRIOR_DT,INTRMDRY_CARR_PRIOR_CD,PRVDR_NUM,RGN_CD,SKLTN_REC_SW,STATE_CD,SSA_STATE_CD,STATE_RGN_CD,ST_ADR,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_STATE_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,CBSA_CD,AFFILIATED_PROVIDER_NUMBER_1,AFFILIATED_PROVIDER_NUMBER_2,AFFILIATED_PROVIDER_NUMBER_3,AFFILIATED_PROVIDER_NUMBER_4,AFFILIATED_PROVIDER_NUMBER_5,AFFILIATED_PROVIDER_NUMBER_6,Geography,Civilian noninstitutionalized population,Insured Estimate,Insured %,Privately Insured Estimate,Privately Insured Percent,Public or subsidized Coveraged,"
Public coverage 
 Percent",No health insurance coverage Estimate,No health insurance coverage Percent,Summary Level,County,Place,Geography.1,Total Civilian Noninstitutionalized Population,Avg orMedian age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanicor Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American or Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian or Pacific Islander Prop,"Other Race Only, Not Hispanic or Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + with poor English,Unnamed: 0,lons,lats,names,grade,addresses,ZIP2
1,22,ANTIOCH,N,NULL,60,NULL,19921221,N,SUTTER DELTA MEDICAL CENTER,NULL,NULL,19921221,NULL,NULL,05D0062749,9,Y,CA,5,M2,3901 LONE TREE WAY,8,20160721,NULL,2,94509,6,13,U,36084,NULL,NULL,NULL,NULL,NULL,NULL,ANTIOCH CITY,111346,104609,93.9,65827,59.1,50458,45.3,6737,6.1,160,13,2252,ANTIOCH CITY,111346,36.2,34423,78.2,21.8,3.23,3.56,N,N,5764,7,0,37993,34,29392,26.3,20903,18.7,127,0.1,14190,12.7,539,0.5,841,0.8,7698,6.9,76.5,23.5,55.6,103818,36.5,16.9,184,-121.8029543,37.9825884,SUTTER DELTA MEDICAL CENTER,c,"3901 LONE TREE WAY
                ANTIOCH, CA 94509-6253",945096253
1,22,RICHMOND,Y,A,60,05D0603727,19940921,Y,PERMANENTE MEDICAL GROUP,NULL,NULL,19920901,NULL,NULL,05D0063123,9,N,CA,5,M2,901 NEVIN AVENUE,1,19950930,1,2,94801,6,13,U,36084,05D0643855,05D0603727,NULL,NULL,NULL,NULL,RICHMOND CITY,109042,94932,87.1,62222,57.1,44138,40.5,14110,12.9,160,13,60620,RICHMOND CITY,109042,35.1,37029,67.6,32.4,2.94,3.46,N,N,3610,4.2,4.3,52425,47.6,18753,17,19542,17.8,273,0.2,13931,12.7,149,0.1,686,0.6,4278,3.9,65,35,40.6,103539,54.5,23,226,-122.3605023,37.93712,KAISER FOUNDATION HOSPITAL - RICHMOND,c,"901 NEVIN AVENUE
                RICHMOND, CA 94801-3143",948013143
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,NULL,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,NULL,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,NULL,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES CITY,3974895,3558326,89.5,2189601,55.1,1615106,40.6,416569,10.5,160,37,44000,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES CITY,3974895,3558326,89.5,2189601,55.1,1615106,40.6,416569,10.5,160,37,44000,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
